question,answer
هل لبس المخيط قبل نية الإحرام يُعتبر مخالفة,لا، لبس المخيط لا يعد من المحظورات إلا بعد نية الإحرام
هل الدخول إلى مكة بلباس الإحرام فقط دون نية يعتبر نسكًا,لا، لا يدخل الشخص في النسك إلا بالنية والتلبية أو التلبية فقط
هل من الخطأ الطواف أثناء الحيض,نعم، لا يصح الطواف من الحائض، وعليها الانتظار حتى تطهر
هل من الأخطاء استلام أركان الكعبة كلها,نعم، السنة استلام الركن اليماني وتقبيل الحجر الأسود فقط، دون باقي الأركان
هل رفع الصوت والتزاحم عند الحجر الأسود صحيح,لا، السنة التقبيل بدون أذية أو تدافع، ويكفي الإشارة إن تعذر
هل من الخطأ صلاة ركعتين بعد كل طواف تطوع,لا، بل هذا من السنة، لكن الخطأ أن يعتقد وجوبها أو أن تصلى في أماكن مزدحمة
هل من الخطأ الطواف والسعي بدون طهارة,نعم، يشترط الطهارة للطواف، أما السعي فلا يشترط له الوضوء
هل يجوز تقديم السعي على الطواف,لا، لا يصح السعي إلا بعد طواف صحيح
هل من الخطأ قص الشعر من جهة واحدة فقط عند التحلل,نعم، يجب الحلق أو التقصير من جميع الرأس، لا من جهة واحدة
هل من الخطأ الدعاء بأدعية مخصوصة عند كل شوط في الطواف,نعم، لا يوجد أدعية مخصصة لكل شوط، والسنة أن يدعو بما شاء
هل الوقوف عند مقام إبراهيم فرض,لا، الوقوف خلف المقام مستحب، ولا يجب، ويجوز الصلاة في أي مكان في المسجد
هل رفع اليدين أثناء الطواف من السنة,لا، لا يشرع رفع اليدين أثناء الطواف إلا عند استلام الحجر الأسود
هل من الخطأ السعي في الطابق العلوي أو السفلي,لا، السعي في أي طابق جائز ما دام بين الصفا والمروة
هل الهرولة في جميع السعي من السنة,لا، الهرولة تكون فقط بين العلمين الأخضرين، للرجال دون النساء
هل يجوز للمرأة أن تحلق شعرها,لا، المرأة تقصر فقط، ولا يجوز لها الحلق
هل تأخير طواف الإفاضة لما بعد أيام التشريق خطأ,لا، جائز، لكن الأفضل أن يؤدى في يوم النحر
هل من الأخطاء ترك المبيت في منى لغير عذر,نعم، المبيت بمنى في ليالي التشريق واجب عند الجمهور، ويترك لعذر فقط
هل يجوز رمي الجمرات قبل الزوال,لا، رمي الجمرات في أيام التشريق لا يصح قبل الزوال الظهر
هل من الخطأ رمي الجمرات بالنعال أو الأحذية,لا، لكن الخطأ هو رميها بأي شيء غير الحصى المشروع
هل من الخطأ تكديس الحصى أو رمي أكثر من واحدة دفعة واحدة,نعم، يجب رمي الحصيات واحدة واحدة، مع التكبير لكل حصاة
هل من السنة غسل الحجر الأسود أو تقبيله بإلحاح,لا، وينهى عن المزاحمة والأذى، ويكفي الإشارة إليه إن لم يتمكن
هل زيارة القبر النبوي من مناسك الحج,لا، هي سنة مستقلة وليست جزءا من الحج أو العمرة
هل يجوز تكرار العمرة في السفرة الواحدة,الأفضل ترك التكرار إلا لحاجة أو عذر، فالتكرار المتواصل لا يستحب
هل من الخطأ دخول الكعبة أو الحجر بقصد العبادة,لا، لكنه ليس من أعمال الحج، فلا يخصص بعبادات إلا ما ورد
هل من الخطأ أن تُحرم المرأة بدون محرم,نعم، في المذاهب الأربعة لا يجوز سفر المرأة للحج بلا محرم إلا في حالات ضيقة، خلافا لبعض المعاصرين
هل من الأخطاء اصطحاب الأطفال دون القدرة على متابعتهم,نعم، إذا أدى ذلك للتقصير في أداء النسك أو أذى الغير
هل من السنة مسح الجدران والتبرك بها,لا، بل هذا من البدع، ولا يشرع التبرك إلا بالحجر الأسود
هل طواف النساء مختلف عن طواف الرجال,لا، الطواف واحد، لكن تمنع المرأة من الهرولة والاختلاط
هل يجوز الركوع والسجود في الطواف,لا، الطواف عبادة قائمة بذاتها، ولا يشرع فيه الركوع أو السجود
هل تأخير السعي بعد الطواف يُبطله,لا، يجوز تأخيره ولو لساعات أو يوم، بشرط عدم الإخلال بالترتيب العام
هل من الأخطاء ازدحام النساء مع الرجال في السعي,نعم، يجب على النساء الابتعاد عن مواضع الزحام، والابتعاد عن الرجال
هل من الخطأ لبس النقاب أثناء الإحرام,نعم، المرأة المحرمة لا تلبس النقاب ولا القفازين
هل لبس الحذاء المفتوح للمحرم من الأخطاء,لا، بل هو جائز ما دام لا يغطي الكعبين والعقبين
هل من السنة المبالغة في البكاء عند الكعبة,ليس من السنة، إنما الخشوع الصادق مطلوب، وليس التصنع أو الرياء
هل التسمية عند رمي الجمرات مشروعة,لا، السنة التكبير فقط عند رمي كل حصاة
هل من الخطأ تحري أماكن معينة في الجمرات للدعاء,نعم، السنة الدعاء بعد الجمرة الصغرى والوسطى فقط، ولا دعاء بعد العقبة الكبرى
هل يجوز للحاج أن يُوكل غيره في الرمي دون عذر,لا، التوكيل لا يشرع إلا لمن كان عاجزا أو مريضا أو لديه عذر شرعي
هل يجوز الطواف بالأحذية,لا، يجب الطواف حافيا، إلا إذا وجد عذر
هل حمل المصحف أثناء الطواف مطلوب,لا، ولم يفعله النبي ، والأفضل الدعاء بما تيسر
هل وجود الحيض يمنع من الإحرام,لا، يجوز للمرأة أن تحرم وهي حائض، لكن لا تطوف إلا بعد الطهر
"هل من الخطأ قول ""اللهم إني أريد العمرة"" بصوت",لا يسن ذلك، ويكفي النية بالقلب والتلبية فقط
هل من الأخطاء أن يحج الشخص قبل قضاء الدين,إن كان الدين حالا ولا إذن من الدائن، فالأولى تأجيل الحج حتى يقضى
هل من الأخطاء الانشغال بالتصوير أثناء المناسك,نعم، يفقد الخشوع ويشغل القلب، والحج عبادة عظيمة
